source,target,oneway,access,width,length,maxspeed,name,lanes,highway,junction,geometry,tunnel,osmid,bridge,ref,area
33322510,296193955,False,,,67.498,,Waldstraße,,residential,,"LINESTRING (11.5541354 50.904523, 11.5541773 50.904628, 11.5543789 50.9048546, 11.5545267 50.9050746)",,27021307,,,
33322510,296193962,False,,,131.624,30,Ammerbacher Straße,2,secondary,,"LINESTRING (11.5541354 50.904523, 11.5543341 50.9045493, 11.5545626 50.904517, 11.5546884 50.9044921, 11.5549219 50.9044515, 11.5551872 50.9044142, 11.5553161 50.9044057, 11.5554688 50.9044079, 11.5556257 50.9044188, 11.5558652 50.9044712, 11.5559536 50.9045011)",,"[239231425, 35070700, 47082430]",,L 2308,
33322510,296181362,False,,,42.772999999999996,30,Ammerbacher Straße,2,secondary,,"LINESTRING (11.5541354 50.904523, 11.5539575 50.9044548, 11.5536744 50.904275)",,47082431,,L 2308,
33322828,300063175,False,,,1306.2109999999998,30,"['Leutra', 'Unterm Sande']",,"['tertiary', 'residential']",,"LINESTRING (11.5665411 50.8689262, 11.5666134 50.8688762, 11.5667423 50.8688389, 11.5672892 50.8688457, 11.5678895 50.868825, 11.5679985 50.8688213, 11.5683346 50.8688021, 11.5687006 50.8687829, 11.5687265 50.8687815, 11.5692324 50.8688146, 11.5695931 50.8688389, 11.5699543 50.8688761, 11.5701635 50.8689091, 11.5704385 50.8689524, 11.571117 50.869012, 11.5713072 50.8690287, 11.5719673 50.8690691, 11.5724502 50.8690776, 11.5745595 50.8690878, 11.5751159 50.869064, 11.5759419 50.8690103, 11.5765345 50.8689503, 11.5770632 50.8689204, 11.5775826 50.8689322, 11.5797427 50.8690675, 11.5802844 50.8690792, 11.5807088 50.8690504, 11.5825183 50.8688794, 11.5830037 50.8688293, 11.5831739 50.8688072, 11.5833981 50.8687528, 11.5834712 50.8687101, 11.5838595 50.8685312, 11.5840562 50.8684817, 11.5843447 50.8684392, 11.5848385 50.868372)",,"[24784234, 24386539, 24386525, 515322206]",,K 1,
33322828,1829868877,False,,,54.718,30,Leutra,,residential,,"LINESTRING (11.5665411 50.8689262, 11.5665463 50.8689926, 11.5665498 50.8692858, 11.5665431 50.8693704, 11.5665422 50.8694181)",,"[172037152, 24784235, 27884788]",yes,,
33322828,33322856,False,,,190.739,30,Leutra,,residential,,"LINESTRING (11.5665411 50.8689262, 11.5663529 50.8688742, 11.5659338 50.8687999, 11.565399 50.8687118, 11.5649197 50.8686266, 11.5646349 50.8685816, 11.5639151 50.8684942)",,"[172037153, 240658997]",,,
33322856,33322828,False,,,190.739,30,Leutra,,residential,,"LINESTRING (11.5639151 50.8684942, 11.5646349 50.8685816, 11.5649197 50.8686266, 11.565399 50.8687118, 11.5659338 50.8687999, 11.5663529 50.8688742, 11.5665411 50.8689262)",,"[172037153, 240658997]",,,
33323084,1634539078,True,,,15.734,50,Brüsseler Straße,3,primary_link,,,,258179636,,,
35304293,3376477839,False,,,378.02899999999994,30,Schrödingerstraße,2,residential,,"LINESTRING (11.5786047 50.8941804, 11.578503 50.8944497, 11.5783928 50.8946457, 11.5782639 50.8947977, 11.5781227 50.8949254, 11.5779748 50.8950528, 11.5777804 50.8951906, 11.5777052 50.895232, 11.5775951 50.8952927, 11.577435 50.8953676, 11.5772339 50.8954494, 11.576818 50.8955565, 11.575931 50.8958287, 11.5753082 50.896033, 11.5750751 50.8961055, 11.5749835 50.8961343, 11.5748801 50.89616, 11.5746318 50.8962143)",,5120125,,,
35304293,263262580,False,,,44.135,,Bertolt-Brecht-Straße,,residential,,"LINESTRING (11.5786047 50.8941804, 11.578235 50.8940838, 11.578032 50.8940168)",,23817092,,,
35304293,3378945729,False,,,97.85799999999999,,Bertolt-Brecht-Straße,,residential,,"LINESTRING (11.5786047 50.8941804, 11.5786735 50.8941991, 11.5789802 50.8942822, 11.5790669 50.8943057, 11.5794356 50.8944113, 11.5797544 50.8945045, 11.5798777 50.8945405)",,24301195,,,
35304293,3378945717,False,,,232.085,30,Bertolt-Brecht-Straße,,residential,,"LINESTRING (11.5786047 50.8941804, 11.5786379 50.8940843, 11.5786461 50.8940604, 11.5787636 50.8939345, 11.5788674 50.8938563, 11.5800411 50.8930759, 11.5804667 50.8927929, 11.5807347 50.892608)",,188099430,,,
35304303,35304309,False,,,307.657,30,Schrödingerstraße,2,residential,,"LINESTRING (11.5714547 50.8980721, 11.5709641 50.8987455, 11.5705604 50.899332, 11.5705329 50.8993722, 11.570322 50.8996542, 11.570191 50.8998485, 11.5700757 50.9000206, 11.5699102 50.9003364, 11.5698899 50.9003881, 11.5698977 50.9004749, 11.5699085 50.9005556, 11.5699387 50.9006323)",,46620964,,,
